"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:22:25.559","0x4A","0x24","False","False","False","False","379671","0","VK_J","Jキー"
"08/31 18:22:25.622","0x4A","0x24","False","False","False","True","379734","0","VK_J","Jキー"
"08/31 18:22:26.006","0x4B","0x25","False","False","False","False","380125","0","VK_K","Kキー"
"08/31 18:22:26.068","0x4B","0x25","False","False","False","True","380187","0","VK_K","Kキー"
"08/31 18:22:26.423","0x4C","0x26","False","False","False","False","380546","0","VK_L","Lキー"
"08/31 18:22:26.487","0x4C","0x26","False","False","False","True","380609","0","VK_L","Lキー"
"08/31 18:22:26.829","0xBA","0x27","False","False","False","False","380953","0","VK_OEM_1","OEM1キー"
"08/31 18:22:26.891","0xBA","0x27","False","False","False","True","381015","0","VK_OEM_1","OEM1キー"
"08/31 18:22:27.188","0xDE","0x28","False","False","False","False","381312","0","VK_OEM_7","OEM7キー"
"08/31 18:22:27.242","0xDE","0x28","False","False","False","True","381359","0","VK_OEM_7","OEM7キー"
"08/31 18:22:27.465","0xDC","0x2B","False","False","False","False","381578","0","VK_OEM_5","OEM5キー"
"08/31 18:22:27.519","0xDC","0x2B","False","False","False","True","381640","0","VK_OEM_5","OEM5キー"
"08/31 18:22:28.345","0xA0","0x2A","False","False","False","False","382468","0","VK_LSHIFT","左Shiftキー"
"08/31 18:22:28.416","0xA0","0x2A","False","False","False","True","382531","0","VK_LSHIFT","左Shiftキー"
"08/31 18:22:28.634","0x5A","0x2C","False","False","False","False","382750","0","VK_Z","Zキー"
"08/31 18:22:28.706","0x5A","0x2C","False","False","False","True","382828","0","VK_Z","Zキー"
"08/31 18:22:28.961","0x58","0x2D","False","False","False","False","383078","0","VK_X","Xキー"
"08/31 18:22:29.040","0x58","0x2D","False","False","False","True","383156","0","VK_X","Xキー"
"08/31 18:22:29.295","0x43","0x2E","False","False","False","False","383406","0","VK_C","Cキー"
"08/31 18:22:29.382","0x43","0x2E","False","False","False","True","383500","0","VK_C","Cキー"
"08/31 18:22:29.662","0x56","0x2F","False","False","False","False","383781","0","VK_V","Vキー"
"08/31 18:22:29.725","0x56","0x2F","False","False","False","True","383843","0","VK_V","Vキー"
"08/31 18:22:30.023","0x42","0x30","False","False","False","False","384140","0","VK_B","Bキー"
"08/31 18:22:30.078","0x42","0x30","False","False","False","True","384203","0","VK_B","Bキー"
"08/31 18:22:30.356","0x4E","0x31","False","False","False","False","384468","0","VK_N","Nキー"
"08/31 18:22:30.434","0x4E","0x31","False","False","False","True","384546","0","VK_N","Nキー"
"08/31 18:22:30.713","0x4D","0x32","False","False","False","False","384828","0","VK_M","Mキー"
"08/31 18:22:30.792","0x4D","0x32","False","False","False","True","384906","0","VK_M","Mキー"
"08/31 18:22:31.096","0xBC","0x33","False","False","False","False","385218","0","VK_OEM_COMMA",",キー"
"08/31 18:22:31.182","0xBC","0x33","False","False","False","True","385296","0","VK_OEM_COMMA",",キー"
"08/31 18:22:31.466","0xBE","0x34","False","False","False","False","385578","0","VK_OEM_PERIOD",".キー"
"08/31 18:22:31.560","0xBE","0x34","False","False","False","True","385671","0","VK_OEM_PERIOD",".キー"
"08/31 18:22:31.843","0xBF","0x35","False","False","False","False","385968","0","VK_OEM_2","OEM2キー"
